pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,7,16,0.896296
original_vs_version1,head_output_maxmatch_cosine,head_output,7,17,0.951067
original_vs_version1,head_output_maxmatch_cosine,head_output,7,18,0.816647
original_vs_version1,head_output_maxmatch_cosine,head_output,7,19,0.928605
original_vs_version1,head_output_maxmatch_cosine,head_output,7,20,0.858661
original_vs_version1,head_output_maxmatch_cosine,head_output,7,21,0.839133
original_vs_version1,head_output_maxmatch_cosine,head_output,7,22,0.814595
original_vs_version1,head_output_maxmatch_cosine,head_output,7,23,0.869477
original_vs_version1,head_output_maxmatch_cosine,head_output,7,24,0.905654
original_vs_version1,head_output_maxmatch_cosine,head_output,7,25,0.864042
original_vs_version1,head_output_maxmatch_cosine,head_output,7,26,0.817153
original_vs_version1,head_output_maxmatch_cosine,head_output,7,27,0.889317
original_vs_version1,head_output_maxmatch_cosine,head_output,7,28,0.91917
original_vs_version1,head_output_maxmatch_cosine,head_output,7,29,0.877822
original_vs_version1,head_output_maxmatch_cosine,head_output,7,30,0.896381
original_vs_version1,head_output_maxmatch_cosine,head_output,7,31,0.903517
original_vs_version1,head_output_maxmatch_cosine,head_output,7,32,0.808799
original_vs_version1,head_output_maxmatch_cosine,head_output,7,33,0.938475
original_vs_version1,head_output_maxmatch_cosine,head_output,7,34,0.823243
original_vs_version1,head_output_maxmatch_cosine,head_output,7,35,0.916704
original_vs_version1,head_output_maxmatch_cosine,head_output,7,36,0.864129
original_vs_version1,head_output_maxmatch_cosine,head_output,7,37,0.934316
original_vs_version1,head_output_maxmatch_cosine,head_output,7,38,0.903437
original_vs_version1,head_output_maxmatch_cosine,head_output,7,39,0.953323
original_vs_version1,head_output_maxmatch_cosine,head_output,8,0,0.846706
original_vs_version1,head_output_maxmatch_cosine,head_output,8,1,0.923991
original_vs_version1,head_output_maxmatch_cosine,head_output,8,2,0.944334
original_vs_version1,head_output_maxmatch_cosine,head_output,8,3,0.88315
original_vs_version1,head_output_maxmatch_cosine,head_output,8,4,0.828873
original_vs_version1,head_output_maxmatch_cosine,head_output,8,5,0.924553
original_vs_version1,head_output_maxmatch_cosine,head_output,8,6,0.933619
original_vs_version1,head_output_maxmatch_cosine,head_output,8,7,0.875165
original_vs_version1,head_output_maxmatch_cosine,head_output,8,8,0.956539
original_vs_version1,head_output_maxmatch_cosine,head_output,8,9,0.93918
original_vs_version1,head_output_maxmatch_cosine,head_output,8,10,0.916084
original_vs_version1,head_output_maxmatch_cosine,head_output,8,11,0.872276
original_vs_version1,head_output_maxmatch_cosine,head_output,8,12,0.918493
original_vs_version1,head_output_maxmatch_cosine,head_output,8,13,0.91789
original_vs_version1,head_output_maxmatch_cosine,head_output,8,14,0.893832
original_vs_version1,head_output_maxmatch_cosine,head_output,8,15,0.951036
original_vs_version1,head_output_maxmatch_cosine,head_output,8,16,0.967301
original_vs_version1,head_output_maxmatch_cosine,head_output,8,17,0.880114
original_vs_version1,head_output_maxmatch_cosine,head_output,8,18,0.979015
original_vs_version1,head_output_maxmatch_cosine,head_output,8,19,0.883248
original_vs_version1,head_output_maxmatch_cosine,head_output,8,20,0.90656
original_vs_version1,head_output_maxmatch_cosine,head_output,8,21,0.954055
original_vs_version1,head_output_maxmatch_cosine,head_output,8,22,0.926267
original_vs_version1,head_output_maxmatch_cosine,head_output,8,23,0.885861
original_vs_version1,head_output_maxmatch_cosine,head_output,8,24,0.913452
original_vs_version1,head_output_maxmatch_cosine,head_output,8,25,0.8933
original_vs_version1,head_output_maxmatch_cosine,head_output,8,26,0.880826
original_vs_version1,head_output_maxmatch_cosine,head_output,8,27,0.903769
original_vs_version1,head_output_maxmatch_cosine,head_output,8,28,0.872796
original_vs_version1,head_output_maxmatch_cosine,head_output,8,29,0.831969
original_vs_version1,head_output_maxmatch_cosine,head_output,8,30,0.928211
original_vs_version1,head_output_maxmatch_cosine,head_output,8,31,0.88127
